abb,year,month,total,mean,num_loans,year_month,state,population,per_cap_loan,per_cap_num_loans,epop,unemp,epop_jan_2020,unemp_jan_2020,epop_change,unemp_change,unemp_diff,epop_diff,unemp_diff_in_diff,epop_diff_in_diff,unemp_month_change,epop_month_change
LA,2020,12,180179416,6673311.703703703,27,Dec 2020,Louisiana,4648794,38.7583136615647,0.5807957934896664,53.9,7.9,57,5.1,-3.1000000000000014,2.8000000000000007,1.8627450980392162,-4.758823529411764,0.7962418300653598,0.45114379084967293,0,0
MA,2020,8,25516250,12758125,2,Aug 2020,Massachusetts,6892503,3.702029581996555,0.029017034885585102,58,9.3,64.8,2.8,-6.799999999999997,6.500000000000001,1.5294117647058831,0.4941176470588218,2.07124183006536,-2.979248366013069,-0.5,1.1000000000000014
MA,2020,9,6850000,3425000,2,Sep 2020,Massachusetts,6892503,0.9938334448312899,0.029017034885585102,59,8.9,64.8,2.8,-5.799999999999997,6.1000000000000005,1.772549019607843,1.06666666666667,2.31437908496732,-2.4066993464052207,-0.40000000000000036,1
MA,2020,10,1550000,1550000,1,Oct 2020,Massachusetts,6892503,0.22488202036328458,0.014508517442792551,59.7,8.5,64.8,2.8,-5.099999999999994,5.7,2.007843137254902,1.1607843137254932,2.549673202614379,-2.3125816993463975,-0.40000000000000036,0.7000000000000028
MA,2020,11,79974200,13329033.333333334,6,Nov 2020,Massachusetts,6892503,11.603070756733802,0.08705110465675532,60.3,8.4,64.8,2.8,-4.5,5.6000000000000005,2.186274509803922,1.8098039215686228,2.7281045751633988,-1.6635620915032678,-0.09999999999999964,0.5999999999999943
MA,2020,12,356158965,12281343.620689655,29,Dec 2020,Massachusetts,6892503,51.67338556109442,0.42074700584098407,60.9,8.4,64.8,2.8,-3.8999999999999986,5.6000000000000005,2.362745098039216,2.241176470588236,2.904575163398693,-1.2321895424836544,0,0.6000000000000014
MD,2020,10,3560000,1780000,2,Oct 2020,Maryland,6045680,0.5888502203226105,0.03308147305183205,60.8,6.8,66.8,3.4,-6,3.4,0.30784313725490176,2.2607843137254875,0.3913398692810455,-2.3292483660130747,-0.20000000000000018,2.0999999999999943
MD,2020,11,31280000,15640000,2,Nov 2020,Maryland,6045680,5.173942385306533,0.03308147305183205,60.8,6.8,66.8,3.4,-6,3.4,0.5862745098039213,2.309803921568623,0.669771241830065,-2.2802287581699394,0,0
MD,2020,12,104442444,10444244.4,10,Dec 2020,Maryland,6045680,17.27554948326739,0.16540736525916028,60.8,6.8,66.8,3.4,-6,3.4,0.7627450980392156,2.141176470588235,0.8462418300653594,-2.4488562091503274,0,0
MI,2020,9,10450000,3483333.3333333335,3,Sep 2020,Michigan,9986857,1.0463752509923794,0.030039480889733378,55.7,8.2,59.4,3.7,-3.6999999999999957,4.499999999999999,1.072549019607842,-2.233333333333327,0.5727124183006524,-0.023366013071888236,-0.3000000000000007,0.30000000000000426
MI,2020,10,17500000,8750000,2,Oct 2020,Michigan,9986857,1.7523030519011136,0.020026320593155584,55.8,8.1,59.4,3.7,-3.6000000000000014,4.3999999999999995,1.6078431372549016,-2.7392156862745125,1.108006535947712,-0.5292483660130736,-0.09999999999999964,0.09999999999999432
MI,2020,11,77342995,7031181.363636363,11,Nov 2020,Michigan,9986857,7.744478067524147,0.11014476326235573,55.8,8.2,59.4,3.7,-3.6000000000000014,4.499999999999999,1.9862745098039207,-2.690196078431377,1.4864379084967312,-0.48022875816993826,0.09999999999999964,0
MI,2020,12,202663725,10133186.25,20,Dec 2020,Michigan,9986857,20.293043647265602,0.20026320593155583,55.7,8.2,59.4,3.7,-3.6999999999999957,4.499999999999999,2.162745098039215,-2.9588235294117595,1.6629084967320256,-0.7488562091503206,0,-0.09999999999999432
MN,2020,7,2600000,2600000,1,Jul 2020,Minnesota,5639632,0.4610229887340167,0.017731653412846795,65.2,7.6,68,3.2,-2.799999999999997,4.3999999999999995,-1.4294117647058826,8.433333333333337,-0.995915032679739,2.3349673202614403,-1.3000000000000007,0.10000000000000853
MN,2020,8,4561168.84,4561168.84,1,Aug 2020,Minnesota,5639632,0.8087706502835645,0.017731653412846795,65.2,6.6,68,3.2,-2.799999999999997,3.3999999999999995,-1.170588235294118,7.694117647058825,-0.7370915032679743,1.5957516339869278,-1,0
MN,2020,9,8930000,2976666.6666666665,3,Sep 2020,Minnesota,5639632,1.5834366497672188,0.05319496023854039,65.3,5.8,68,3.2,-2.700000000000003,2.5999999999999996,-1.3274509803921575,7.366666666666667,-0.8939542483660139,1.2683006535947703,-0.7999999999999998,0.09999999999999432
MN,2020,10,20256090.31,6752030.1033333335,3,Oct 2020,Minnesota,5639632,3.5917397287624437,0.05319496023854039,65.2,5.3,68,3.2,-2.799999999999997,2.0999999999999996,-1.1921568627450982,6.660784313725493,-0.7586601307189547,0.5624183006535963,-0.5,-0.09999999999999432
MN,2020,11,39739000,4967375,8,Nov 2020,Minnesota,5639632,7.0463817497311885,0.14185322730277436,65.2,5,68,3.2,-2.799999999999997,1.7999999999999998,-1.2137254901960786,6.7098039215686285,-0.780228758169935,0.6114379084967316,-0.2999999999999998,0
MN,2020,12,218445294.54,6241294.129714286,35,Dec 2020,Minnesota,5639632,38.733962524505145,0.6206078694496379,65.2,4.7,68,3.2,-2.799999999999997,1.5,-1.337254901960784,6.5411764705882405,-0.9037581699346404,0.4428104575163436,-0.2999999999999998,0
MO,2020,7,6250000,2083333.3333333333,3,Jul 2020,Missouri,6137428,1.0183418852327066,0.048880410491169916,59.8,6.8,61.9,3.6,-2.1000000000000014,3.1999999999999997,-2.2294117647058824,3.0333333333333314,-1.9375816993464055,2.7933006535947693,-1.2999999999999998,2.799999999999997
MO,2020,9,91475000,45737500,2,Sep 2020,Missouri,6137428,14.904451832265893,0.032586940327446606,60.2,5.4,61.9,3.6,-1.6999999999999957,1.8000000000000003,-1.727450980392157,2.266666666666673,-1.43562091503268,2.0266339869281107,-0.5999999999999996,0.10000000000000142
MO,2020,10,4500000,4500000,1,Oct 2020,Missouri,6137428,0.7332061573675488,0.016293470163723303,60.3,5,61.9,3.6,-1.6000000000000014,1.4,-1.492156862745098,1.7607843137254875,-1.200326797385621,1.5207516339869251,-0.40000000000000036,0.09999999999999432
MO,2020,11,74319509,10617072.714285715,7,Nov 2020,Missouri,6137428,12.109227024740656,0.11405429114606314,60.3,4.7,61.9,3.6,-1.6000000000000014,1.1,-1.5137254901960784,1.8098039215686228,-1.2218954248366014,1.5697712418300604,-0.2999999999999998,0
